grupo estudio,year,universidad,titulo
Sociología,2010,UNIV.AUSTRAL DE CHILE,Periodismo intercultural: construcción de la noticia a través de un análisis crítico y complejo del discurso en la prensa diaria de cobertura nacional de Chile y Perú. El caso de 'El mercurio' y 'La cuarta' y 'El comercio' y 'Aja'
Sociología,2010,PONT. UNIV. CATOLICA DE CHILE,Elaboración de un modelo explicativo de las gradientes de complejidad de generación de valor social y económico entre OSFL y organizaciones donantes
Sociología,2010,PONT. UNIV. CATOLICA DE CHILE,El ciclo cinematográfico de la televisión chilena (1965-1980): estéticas e imaginarios de la reiteración y el desfase
Sociología,2010,UNIV.DEL BIO-BIO,Trabajo femenino y vida familiar en el contexto de la modernización rural. Realidades y representaciones en la provincia de ñuble
Sociología,2010,UNIV.DIEGO PORTALES,La desigualdad cultural y sus determinantes. Un estudio sobre el gusto y la participación cultural en Chile
Sociología,2010,UNIV.CATOLICA CARDENAL SILVA HENRIQUEZ,"Vinculaciones entre la construcción y deconstrucción de la confianza y la cohesión social, en jóvenes estudiantes de educación secundaria: lineamientos para fortalecer la democracia"
Sociología,2010,UNIV.ALBERTO HURTADO,Trayectorias laborales de los inmigrantes peruanos en Chile: estrategias de estructuración de la movilidad ocupacional ascendente
Sociología,2010,UNIV.DIEGO PORTALES,La infancia en la perspectiva de los niños y niñas. Un estudio discursivo en estrato socioeconómico medio de Santiago de Chile
Sociología,2010,UNIV.DIEGO PORTALES,"Las elites políticas en Chile: sociología del personal gubernamental, parlamentario y partidario (1990-2010)"
Sociología,2010,UNIV.DE CONCEPCION,Chile hoy: vivencias de alteridades e imaginarios sociales de víctimas de violencia simbólica
Sociología,2011,UNIV.DE SANTIAGO DE CHILE,"Modelos profesionales de periodismo en Chile: roles institucionales, orientaciones epistemológicas y factores condicionantes de la prensa nacional durante el periodo 1990-2011"
Sociología,2011,UNIV.DE CHILE,"Vida cotidiana de niñas y niños hijos de inmigrantes peruanos en los espacios sociales escolares: capitales, tácticas y estrategias para la integración en Chile"
Sociología,2011,PONT. UNIV. CATOLICA DE CHILE,Wip/bit Chile 3.0: incidencia de las tics en la confianza entre personas y organizaciones
Sociología,2011,PONT. UNIV. CATOLICA DE CHILE,"Estudio de la homogeneidad inter medios e intra medios a la luz de las posturas editoriales y de las fuentes informativas en cinco diarios chilenos, en el marco de la concentración de la propiedad de los medios"
Sociología,2011,PONT. UNIV. CATOLICA DE CHILE,"Recursos melodramáticos en el periodismo televisivo: un análisis de su presencia en los contenidos y en la producción de los noticiarios chilenos y de sus efectos en la valoración, comprensión y retención de información por parte del público"
Sociología,2011,PONT. UNIV. CATOLICA DE CHILE,La personalización de las campañas presidenciales en la prensa chilena: 1970 - 2009
Sociología,2011,PONT. UNIV. CATOLICA DE CHILE,"Elaboración de un modelo de acción periodística profesional para televisión en periodos de catástrofe, a partir del análisis de la cobertura hecha por la canales nacionales para el terremoto del 27 de febrero de 2010"
Sociología,2011,UNIV.ALBERTO HURTADO,Los tiempos del individuo. Investigación sobre las estructuras temporales en que se apoyan las estrategias de individualización en Chile
Sociología,2011,UNIV.ALBERTO HURTADO,La construcción del espacio y del lugar en contextos de migración trasnacional. Espacios públicos y privados de la migración peruana en Chile
Sociología,2011,PONT. UNIV. CATOLICA DE CHILE,Observando intervenciones sociales con personas: el caso de las alianzas de colaboración entre organizaciones sin fines de lucro y organizaciones estatales
Sociología,2011,PONT. UNIV. CATOLICA DE CHILE,"Instituciones formales y redes informales en políticas públicas. Interferencias procesuales y normativas en políticas de pobreza, obras públicas y medioambiente en Chile"
Sociología,2011,UNIV.ADOLFO IBANEZ,Colisión y armonización de regímenes regulatorios en contextos sociales globales
Sociología,2011,PONT. UNIV. CATOLICA DE CHILE,Resiliencia y desarrollo local: de cara al desastre natural
Sociología,2011,UNIV.ALBERTO HURTADO,"Expectativas, proyectos educativo-laborales y trayectorias post-egreso de jóvenes estudiantes secundarios: un estudio en la región metropolitana"
Sociología,2011,UNIV.ACADEMIA DE HUMANISMO CRISTIANO,"Hombres en Chile. Conciliación, corresponsabilidad y uso del tiempo: tensiones y conflictos entre familia y trabajo"
Sociología,2011,UNIV.ACADEMIA DE HUMANISMO CRISTIANO,La autoridad y la democratización del lazo social en Chile
Sociología,2011,UNIV.DE CHILE,"Repertorios de acción sindical bajo condiciones de subcontrato en los sectores cuprífero, forestal y portuario"
Sociología,2012,FUND CENT TRANSDISCIPLINARIO DE ESTUDIOS,Desarrollo de un modelo conceptual del sistema complejo sociedad-naturaleza aplicable a zonas rurales: la cuenca del río Cruces
Sociología,2012,UNIV.DIEGO PORTALES,La infancia en la perspectiva de los niños y niñas-segunda parte. Un estudio discursivo en diferentes estratos socioeconómicos de Santiago de Chile
Sociología,2012,UNIV.CATOLICA DEL NORTE,"Cultura minera y masculinidad: la sub representación de las mujeres en la minería chilena, un obstáculo para el desarrollo sustentable"
Sociología,2012,UNIV.DE CHILE,Navegación por internet: percepción y cognición en población adulta del gran Santiago
Sociología,2012,PONT. UNIV. CATOLICA DE CHILE,Cultural differences in greetings we need to be aware of between Chile and Korea
Sociología,2012,UNIV.DE CHILE,Características de la recepción del product placement dirigido a niños y jóvenes: analizando el caso de la promoción de alimentos y bebidas no saludables
Sociología,2012,UNIV.DE SANTIAGO DE CHILE,Los museos y su público. Evaluación y análisis de la comunicación y gestión de las audiencias museísticas en Chile (2012-2014)
