folioproy,nombreInvestigador,instrumento,year,universidad,grupoEstudio,titulo,universidadEscala
1100264,Rodrigo Browne,Regular,2010,UNIV.AUSTRAL DE CHILE,SOCIOLOGIA CS I,Periodismo intercultural: construcción de la noticia a través de un análisis crítico y complejo del discurso en la prensa diaria de cobertura nacional de Chile y Perú. El caso de 'El mercurio' y 'La cuarta' y 'El comercio' y 'Aja',Otra
1100369,Darío Rodríguez,Regular,2010,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Elaboración de un modelo explicativo de las gradientes de complejidad de generación de valor social y económico entre OSFL y organizaciones donantes,PUC
1100394,Gabriel Castillo,Regular,2010,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,El ciclo cinematográfico de la televisión chilena (1965-1980): estéticas e imaginarios de la reiteración y el desfase,PUC
1100506,Maria Fawaz,Regular,2010,UNIV.DEL BIO-BIO,SOCIOLOGIA CS I,Trabajo femenino y vida familiar en el contexto de la modernización rural. Realidades y representaciones en la provincia de ñuble,Otra
1100523,Modesto Gayo,Regular,2010,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,La desigualdad cultural y sus determinantes. Un estudio sobre el gusto y la participación cultural en Chile,UDP
1100649,Jorge Baeza,Regular,2010,UNIV.CATOLICA CARDENAL SILVA HENRIQUEZ,SOCIOLOGIA CS I,"Vinculaciones entre la construcción y deconstrucción de la confianza y la cohesión social, en jóvenes estudiantes de educación secundaria: lineamientos para fortalecer la democracia",Otra
1100793,Claudia Mora,Regular,2010,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,Trayectorias laborales de los inmigrantes peruanos en Chile: estrategias de estructuración de la movilidad ocupacional ascendente,UAH
1100811,Ana Vergara,Regular,2010,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,La infancia en la perspectiva de los niños y niñas. Un estudio discursivo en estrato socioeconómico medio de Santiago de Chile,UDP
1100877,Alfredo Joignant,Regular,2010,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,"Las elites políticas en Chile: sociología del personal gubernamental, parlamentario y partidario (1990-2010)",UDP
1100928,Manuel Baeza,Regular,2010,UNIV.DE CONCEPCION,SOCIOLOGIA CS I,Chile hoy: vivencias de alteridades e imaginarios sociales de víctimas de violencia simbólica,Otra
1110009,Claudia Mellado,Regular,2011,UNIV.DE SANTIAGO DE CHILE,SOCIOLOGIA CS I,"Modelos profesionales de periodismo en Chile: roles institucionales, orientaciones epistemológicas y factores condicionantes de la prensa nacional durante el periodo 1990-2011",USACH
1110059,Maria Tijoux,Regular,2011,UNIV.DE CHILE,SOCIOLOGIA CS I,"Vida cotidiana de niñas y niños hijos de inmigrantes peruanos en los espacios sociales escolares: capitales, tácticas y estrategias para la integración en Chile",UCH
1110098,Sergio Godoy,Regular,2011,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Wip/bit Chile 3.0: incidencia de las tics en la confianza entre personas y organizaciones,PUC
1110306,Maria Gronemeyer,Regular,2011,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"Estudio de la homogeneidad inter medios e intra medios a la luz de las posturas editoriales y de las fuentes informativas en cinco diarios chilenos, en el marco de la concentración de la propiedad de los medios",PUC
1110311,Maria Mujica,Regular,2011,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"Recursos melodramáticos en el periodismo televisivo: un análisis de su presencia en los contenidos y en la producción de los noticiarios chilenos y de sus efectos en la valoración, comprensión y retención de información por parte del público",PUC
1110350,William Porath,Regular,2011,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,La personalización de las campañas presidenciales en la prensa chilena: 1970 - 2009,PUC
1110363,Maria Puente,Regular,2011,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"Elaboración de un modelo de acción periodística profesional para televisión en periodos de catástrofe, a partir del análisis de la cobertura hecha por la canales nacionales para el terremoto del 27 de febrero de 2010",PUC
1110402,Pedro Güell,Regular,2011,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,Los tiempos del individuo. Investigación sobre las estructuras temporales en que se apoyan las estrategias de individualización en Chile,UAH
1110414,Carolina Stefoni,Regular,2011,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,La construcción del espacio y del lugar en contextos de migración trasnacional. Espacios públicos y privados de la migración peruana en Chile,UAH
1110416,Eduardo Flores,Regular,2011,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Observando intervenciones sociales con personas: el caso de las alianzas de colaboración entre organizaciones sin fines de lucro y organizaciones estatales,PUC
1110428,Patricio Miranda,Regular,2011,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"Instituciones formales y redes informales en políticas públicas. Interferencias procesuales y normativas en políticas de pobreza, obras públicas y medioambiente en Chile",PUC
1110437,Aldo Mascareño,Regular,2011,UNIV.ADOLFO IBANEZ,SOCIOLOGIA CS I,Colisión y armonización de regímenes regulatorios en contextos sociales globales,Otra
1110466,Maria Ducci,Regular,2011,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Resiliencia y desarrollo local: de cara al desastre natural,PUC
1110544,Leandro Sepúlveda,Regular,2011,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,"Expectativas, proyectos educativo-laborales y trayectorias post-egreso de jóvenes estudiantes secundarios: un estudio en la región metropolitana",UAH
1110553,Pedro Olavarría,Regular,2011,UNIV.ACADEMIA DE HUMANISMO CRISTIANO,SOCIOLOGIA CS I,"Hombres en Chile. Conciliación, corresponsabilidad y uso del tiempo: tensiones y conflictos entre familia y trabajo",Otra
1110733,Kathya Araujo,Regular,2011,UNIV.ACADEMIA DE HUMANISMO CRISTIANO,SOCIOLOGIA CS I,La autoridad y la democratización del lazo social en Chile,Otra
1110973,Miguel Urrutia,Regular,2011,UNIV.DE CHILE,SOCIOLOGIA CS I,"Repertorios de acción sindical bajo condiciones de subcontrato en los sectores cuprífero, forestal y portuario",UCH
1120005,Luisa Delgado,Regular,2012,FUND CENT TRANSDISCIPLINARIO DE ESTUDIOS,SOCIOLOGIA CS I,Desarrollo de un modelo conceptual del sistema complejo sociedad-naturaleza aplicable a zonas rurales: la cuenca del río Cruces,Otra
1120025,Ana Vergara,Regular,2012,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,La infancia en la perspectiva de los niños y niñas-segunda parte. Un estudio discursivo en diferentes estratos socioeconómicos de Santiago de Chile,UDP
1120026,Paulina Salinas,Regular,2012,UNIV.CATOLICA DEL NORTE,SOCIOLOGIA CS I,"Cultura minera y masculinidad: la sub representación de las mujeres en la minería chilena, un obstáculo para el desarrollo sustentable",Otra
1120064,Fidel Del Villar,Regular,2012,UNIV.DE CHILE,SOCIOLOGIA CS I,Navegación por internet: percepción y cognición en población adulta del gran Santiago,UCH
1120159,Won Min,Regular,2012,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Cultural differences in greetings we need to be aware of between Chile and Korea,PUC
1120296,Rodrigo Uribe,Regular,2012,UNIV.DE CHILE,SOCIOLOGIA CS I,Características de la recepción del product placement dirigido a niños y jóvenes: analizando el caso de la promoción de alimentos y bebidas no saludables,UCH
1120313,Cristian Antoine,Regular,2012,UNIV.DE SANTIAGO DE CHILE,SOCIOLOGIA CS I,Los museos y su público. Evaluación y análisis de la comunicación y gestión de las audiencias museísticas en Chile (2012-2014),USACH
1120331,Maria Herrera,Regular,2012,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Eventos estresantes que ocurren al envejecer: como las relaciones familiares y los recursos sociales moderan el impacto en el bienestar de los mayores,PUC
1120401,Isaac Caro,Regular,2012,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,"Judaísmo, islam e hinduismo: conflicto y diálogo en argentina y Chile 2001-2011",UAH
1120425,Ximena Valdés,Regular,2012,CENTRO DE ESTUD.PARA EL DESARR.DE LA MUJ,SOCIOLOGIA CS I,Cambios en las identidades y relaciones de género en el ámbito rural de Chile central 1940-2010,Otra
